direction,index,angle_deg,x_m,y_m,z_m,wire_vx,wire_vy,wire_vz,R00,R01,R02,R10,R11,R12,R20,R21,R22
X_PLUS,27,27.0,-0.9921944431412187,-0.8658122484839793,0.27008927407809796,-0.6241216493749505,-0.05547489560893436,-0.7793553122540893,-0.5800922238878887,-0.772943730331952,0.2570038939886522,0.17542023275169094,0.18956618361444433,0.9660705998896755,-0.7954374606002323,0.6054937256242888,0.025624100051948383
X_PLUS,28,28.0,-0.9927291297550879,-0.865670542613938,0.27051519093723025,-0.6374888147216777,-0.05193224885790383,-0.7687073907757822,-0.5938715034634431,-0.7624077884234521,0.2570038939886522,0.17879429207502867,0.18638722367746124,0.9660705998896755,-0.7844419917976466,0.6196726288945387,0.025624100051948383
X_PLUS,29,29.000000000000004,-0.9932560489582186,-0.8655282039812536,0.27095047402507716,-0.6506617947999478,-0.04837378304079219,-0.7578253135796092,-0.607457494917455,-0.7516278270149928,0.2570038939886522,0.18211027209213254,0.18314869594767005,0.9660705998896755,-0.7731954737756421,0.6336498755853962,0.025624100051948383
X_PLUS,30,29.999999999999996,-0.9937750402459175,-0.8653852759436523,0.27139499075019347,-0.6636365769924194,-0.04480058210075901,-0.7467123954517012,-0.620845444257123,-0.7406078130966788,0.2570038939886522,0.18536701782628284,0.17985178545400424,0.9660705998896755,-0.7617020434837799,0.6474205761706695,0.025624100051948383
X_PLUS,31,31.0,-0.9942859455284107,-0.865241802038399,0.2718486057084786,-0.6764092090547473,-0.041213734469424904,-0.7353720214945731,-0.6340306958171722,-0.7293518185596455,0.2570038939886522,0.1885634033185508,0.17649770241487045,0.9660705998896755,-0.7499659456872145,0.6609799435731841,0.025624100051948383
X_PLUS,32,32.0,-0.9947886091789997,-0.865097825969035,0.27231118072442195,-0.6889758003194739,-0.03761433273532501,-0.7238076460959891,-0.6470086953727245,-0.7178640167794695,0.2570038939886522,0.19169833236159525,0.17308768124446638,0.9660705998896755,-0.7379915294106487,0.674323296360625,0.025624100051948383
X_PLUS,33,33.0,-0.9952828780814673,-0.8649533915920657,0.27278257489319263,-0.701332522881165,-0.034003473311095704,-0.7120227918767221,-0.6597749930925058,-0.7061486790786015,0.2570038939886522,0.19477073918769472,0.16962297953131716,0.9660705998896755,-0.7257832442582723,0.6874460617753692,0.025624100051948383
X_PLUS,34,34.0,-0.9957686016767178,-0.8648085429036018,0.2732626446235603,-0.7134756127624257,-0.03038225609949679,-0.7000210486175297,-0.6723252463264736,-0.6942101710769703,0.2570038939886522,0.19777958910969295,0.16610487699162735,0.9660705998896755,-0.7133456366191973,0.7003437785922568,0.025624100051948383
X_PLUS,35,35.0,-0.9962456320086385,-0.8646633240259568,0.2737512436816346,-0.7254013710604452,-0.02675178415837049,-0.6878060721656725,-0.6846552222225503,-0.682052948940227,0.2570038939886522,0.20072387911370537,0.16253467440010835,0.9660705998896755,-0.7006833457682129,0.7130120997988679,0.025624100051948383
X_PLUS,36,36.0,-0.9967138237691695,-0.8645177791942075,0.27424822323540926,-0.7371061650737191,-0.02311316336463917,-0.6753815833213064,-0.6967608001677545,-0.6696815555353605,0.2570038939886522,0.20360263840260112,0.1589136925009997,0.9660705998896755,-0.6878010998719689,0.7254467950935048,0.025624100051948383
X_PLUS,37,37.0,-0.9971730343425649,-0.8643719527427197,0.2747534319000978,-0.7485864294086038,-0.019467502077444743,-0.6627513667040924,-0.7086379740496476,-0.6571006165036528,0.2570038939886522,0.20641492888944962,0.15524327090204612,0.9660705998896755,-0.6747037119109206,0.7376437531967265,0.025624100051948383
